REGIST_DT,PRDUCT,PRSRV_PD,MAIN_FNCTN,SUNGSANG,INTAKE_HINT1,SRV_USE,STTEMNT_NO,DISTB_PD,BASE_STANDARD,COMPANY_NM,STDR_STND,IMAGE_URL
20150522,2090 파워루테인,"① 직사광선을 피해 서늘한 곳에 보관하시고, 어린이의 손이 닿지 않는 곳에 보관하십시오.
② 제품 개봉 후에는 흡습이 일어날 수 있으니 반드시 밀봉하여 보관하십시오.","눈건강
에너지생성
세포보호
면역기능","이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유한 흑갈색의 연질캡슐","① 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
② 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
③ 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
④ 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
⑤ 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.","납(mg/kg):1.0 이하
카드뮴(mg/kg):1.0 이하
총수은(mg/kg):1.0 이하
총비소(mg/kg):1.0 이하
헥산(mg/kg):5.0 이하
초산에틸(mg/kg):50.0 이하",제조일로부터24개월,"루테인:표시량(20mg/500mg)의 80~120%
아연:표시량(4.3mg/500mg)의 80~150%
비타민E:표시량(4mg α-TE/500mg)의 80~150%
비타민B2:표시량(0.48mg/500mg)의 80~180%
비타민A:표시량(600㎍RE/500mg)의 80~150%
셀렌:표시량(18㎍/500mg)의 80~150%",종근당건강,"5g(500mg X 10캡슐), 15g(500mg X 30캡슐), 30g(500mg X 60캡슐), 45g(500mg X 90캡슐), 60g(500mg X 120캡슐), 90g(500mg X 180캡슐), 105g(500mg X 210캡슐), 150g(500mg X 300캡슐), 180g(500mg X 360캡슐)",http://img.danawa.com/prod_img/500000/989/626/img/3626989_1.jpg?shrink=160:160&_v=20181106160049
20160902,365 눈 건강 루테인,"① 직사광선을 받지 아니하는 서늘한 곳에서 보관 및 유통하시고, 어린이의 손에 닿지 않도록 주의하시기 바랍니다.","눈건강
세포보호",적색의 내용물을 함유한 검정색의 연질캡슐,① 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음,"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.","헥산(mg/kg):5.0 이하
납(mg/kg):1.0 이하
카드뮴(mg/kg):1.0 이하
총수은(mg/kg):1.0 이하
총비소(mg/kg):1.0 이하",제조일로부터 24개월까지,"루테인:표시량의 80 ~ 120% (표시량 20 mg / 400 mg)
비타민A:표시량의 80 ~ 150% (표시량 700 ㎍RE / 400 mg)
비타민E:표시량의 80 ~ 150% (표시량 3.5 mgα-TE / 400 mg)
베타카로틴:표시량의 80 ~ 150% (표시량 1.8 mg / 400 mg)",한미헬스케어,"400 mg × 10, 30, 45, 60, 90, 120, 150, 180, 210, 240, 300, 360, 420, 480, 540, 600캡슐",http://img.danawa.com/prod_img/500000/987/624/img/7624987_1.jpg?shrink=160:160&_v=20190403174130
20150522,JW중외파워루테인A,① 고온다습한 곳이나 직사광선을 피하여 서늘한 곳에 보관.,눈건강,"적갈색의 내용물을 함유한 적갈색의 연질캡슐제품으로 이미, 이취가 없다.","① 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.
② 알레르기 체질이신 분은 원재료를 확인 후 섭취하십시오.
③ 임산부는 섭취 전 의사와 상담이 필요합니다.","1일 1회, 1회 1캡슐을 충분한 물과 섭취.","납(mg/kg):1.0 이하
카드뮴(mg/kg):1.0 이하
총수은(mg/kg):1.0 이하
총비소(mg/kg):1.0 이하
헥산(mg/kg):5.0 이하",제조일로부터 24개월까지,"루테인:표시량(20mg/500mg)의 80~120%
비타민A:표시량(230μg RE/500mg)의 80~150%",중외제약,"500mg× 30캡슐(15g), 500mg× 60캡슐(30g), 500mg× 90캡슐(45g), 500mg× 120캡슐(60g), 500mg× 150캡슐(75g), 500mg x 180캡슐(90g), 500mg× 240캡슐(120g), 500mg x 360캡슐(180g) 등.",http://img.danawa.com/prod_img/500000/327/296/img/6296327_1.jpg?shrink=160:160&_v=20190327101256
20150522,가네굿프리미엄,"① 연질캡슐은 수분, 열에 의한 영향에 민감하므로 인습되지 않게 밀봉하여 보관하며, 열원이나 직사광선을 피해 서늘한 곳(건냉암소)에 보관하십시오. (온도 30℃이상, 상대습도 75% 이상에서는 캡슐이 변형될 수 있습니다.)
② 어린이의 손이 닿지 않는 곳에 보관하십시오.","간건강
에너지생성
세포보호
면역기능",갈색의 내용물을 함유한 장방형의 연질캡슐,"① 알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오
② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취를 주의 하십시오
③ 알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
④ 섭취시 위장장애, 소화불량 등의 이상증상이 있을 경우 섭취를 중단하십시오.
⑤ 약물복용 중이거나 임산부, 수유부 여성은 섭취 전 약사 등의 전문가와 상의하십시오.","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.","납(mg/kg):1.0 이하
총비소(mg/kg):1.0 이하
총수은(mg/kg):1.0 이하
카드뮴(mg/kg):1.0 이하",제조일로부터 24개월,"실리마린:표시량(130mg/700mg)의 80~120%
비타민B1:표시량(1.5mg/700mg)의 80~180%
비타민B2:표시량(1.9mg/700mg)의 80~180%
비타민B6:표시량(2.4mg/700mg)의 80~150%
나이아신:표시량(11.0mgNE/700mg)의 80~150%
판토텐산:표시량(6.0mg/700mg)의 80~180%
아연:표시량(4.0mg/700mg)의 80~150%
셀레늄:표시량(17.0μg/700mg)의 80~150%
비오틴:표시량(46.0μg/700mg)의 80~180%",대웅생명과학,"700mg ×  10, 20, 30, 45, 60, 90, 100, 120, 150, 180, 200, 240, 250, 270, 300, 330, 360 캡슐 등",http://img.danawa.com/prod_img/500000/531/070/img/5070531_1.jpg?shrink=500:500&_v=20180327120815
20170928,가네파워,"① 수분 및 열에 의해 품질에 영향을 받을 수 있으므로 직사광선을 피해 서늘한 곳에 보관하십시오. 
② 어린이 손에 닿지 않는 곳에 보관하십시오.","간건강
에너지생성
세포보호
에너지생성
면역기능",노란갈색의 내용물을 함유한 어두운 갈색의 연질캡슐.,"① 알레르기 반응이 나타나는 경우에는 섭취 중단 
② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.","납(mg/kg):1.0 이하
카드뮴(mg/kg):0.5 이하
총수은(mg/kg):0.5 이하
총비소(mg/kg):1.0 이하",제조일로부터 2년.,"실리마린:표시량(130mg/800mg)의 80~120%
비타민B1:표시량(3.6mg/800mg)의 80~180%
비타민B2:표시량(4.2mg/800mg)의 80~180%
비타민B12:표시량(40ug/800mg)의 80~180%
비타민E:표시량(11mg α-TE/800mg)의 80~150%
셀렌:표시량(17.05ug/800mg)의 80~150% 
비오틴:표시량(90ug/800mg)의 80~180%
엽산:표시량(400ug/800mg)의 80~150%
아연:표시량(3.995mg/800mg) 80~150%
구리:표시량(0.8mg/800mg)의 80~150%
망간:표시량(3mg/800mg)의 80~150%",대웅생명과학,"800mg*6, 10, 20, 30, 60, 90, 120, 150, 180, 210, 270, 360, 420, 480, 540, 600캡슐 등",http://img.danawa.com/prod_img/500000/721/559/img/6559721_1.jpg?shrink=500:500&_v=20181031170918
20180723,간건강 : 밀크씨슬 로사빈 (Liver Health : Milk Thistle Rosavin),"① 직사광선이나 고온 다습한 곳을 피하여 청결하고 서늘한 곳에 밀봉하여 보관 하십시오. 
② 영ㆍ유아 및 어린이의 손에 닿지 않는 곳에 보관하십시오. 
③ 잘못된 사용 및 남용을 피하고 품질 보존을 위해 다른 용기에 넣지 마십시오.","간건강
피로개선","이미, 이취가 없고 고유의 향미가 있는 밝은 회황색의 정제","① 알레르기 반응이 나타나는 경우에는 섭취 중단 
② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","1일 1회, 1회 2정을 물과 함께 섭취하십시오. [700mgⅹ2정/day]","납(mg/kg):1.0 이하
카드뮴(mg/kg):0.5 이하
총수은(mg/kg):0.5 이하
총비소(mg/kg):1.0 이하",제조일로부터 24개월,"실리마린:표시량(130mg/1400mg)의 80~120%
로사빈:표시량(5mg/1400mg)의 80~120%",소버스,"700mg/2정, 1.4g(700mg x 2정), 9.8g(700mg x 14정), 14g(700mg x 20정), 42g(700mg x 60정), 210g(700mg x 300정), 252g(700mg x 360정), 294g(700mg x 420정), 336g(700mg x 480정), 378g(700mg x 540정), 420g(700mg x 600정), …",http://img.danawa.com/prod_img/500000/204/561/img/7561204_1.jpg?shrink=500:500&_v=20190327160251
20151124,간건강 밀크씨슬,"① 직사광선을 피해 서늘한 곳에 보관하시고, 어린이의 손이 닿지 않는 곳에 보관하십시오.","간건강
에너지생성
세포보호
면역기능","이미, 이취가 없고 고유의 향미가 있는 연한 황갈색의 내용물을 함유한 적갈색의 연질캡슐","① 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
② 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
③ 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
④ 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
⑤ 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.
⑥ 알레르기 반응이 나타나는 경우에는 섭취 중단 
⑦ 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의
","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.","납(mg/kg):1.0 이하
카드뮴(mg/kg):0.5 이하
총수은(mg/kg):0.5 이하
총비소(mg/kg):1.0 이하",제조일로부터24개월,"실리마린:표시량(130mg/1000mg)의 80~120%
비타민B1:표시량(1.20mg/1000mg)의 80~180%
비타민B2:표시량(2.1mg/1000mg)의 80~180%
판토텐산:표시량(5mg/1000mg)의 80~180%
비타민B6:표시량(1.5mg/1000mg)의 80~150%
비타민B12:표시량(2.4ug/1000mg)의 80~180%
비타민C:표시량(30mg/1000mg)의 80~150%
비타민E:표시량(3.35mg α-TE/1000mg)의 80~150%
셀렌:표시량(16.5ug/1000mg)의 80~150%
아연:표시량(8.5mg/1000mg)의 80~150%",중외제약,"1,000mg X 6, 10, 30, 60, 90, 120, 150, 180, 210, 240, 270, 360, 365, 450, 540, 630, 720, 810, 900캡슐",http://img.danawa.com/prod_img/500000/824/124/img/3124824_1.jpg?shrink=500:500&_v=20180323175334
20150522,간건강 슈퍼케어,"① 고온다습, 직사광선을 피하여 건냉한 곳에 보관. 
② 어린이 손이 닿지 않는 곳에 보관","간건강
에너지생성
면역기능","이미 이취가 없고, 고유의 향미가 있는 미황색의 제피정제","① 알레르기 반응이 나타나는 경우에는 섭취 중단 
② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의
③ 특이체질, 알레르기 체질이신 분은 원료성분을 확인 후 섭취하여 주십시오.","600 mg 제피정제를 1일 1회, 1정씩 충분한 물과 함께 섭취","납(mg/kg):1.0 이하
카드뮴(mg/kg):0.5 이하
총수은(mg/kg):0.5 이하
총비소(mg/kg):1.0 이하",제조일로부터 24개월,"실리마린:표시량{130 mg / 600 mg(1정)}의 80%~120%
비타민B1:표시량{1.2 mg / 600 mg(1정)}의 80%~180%
비타민B2:표시량{1.4 mg / 600 mg(1정)}의 80%~180%
비타민B6:표시량{1.5 mg / 600 mg(1정)}의 80%~150%
나이아신:표시량{15 mgNE / 600 mg(1정)}의 80%~150%
아연:표시량{8.5 mg / 600 mg(1정)}의 80%~150%",종근당건강,"600mg × 30정, 60정, 120정, 180정, 240정, 300정, 360정 등",http://img.danawa.com/prod_img/500000/534/606/img/8606534_1.jpg?shrink=500:500&_v=20190711165028
20180726,간에 좋은 밀크씨슬,"① 개봉 후에는 공기의 노출을 최대한 차단하여 보관하십시오.
② 고온다습(30℃ 이상, 상대습도 75% 이상), 직사광선을 피하여 서늘한 곳에 보관하십시오.","에너지생성
면역기능
세포보호",이미·이취가 없는 고유의 향미가 있는 회황색 제피정제,"① 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
② 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
③ 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
④ 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
⑤ 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.
⑥ 알레르기 반응이 나타나는 경우에는 섭취 중단","1일 1회, 1회 1정을 물과 함께 섭취하십시오.","납(mg/kg):1.0 이하
카드뮴(mg/kg):0.5 이하
총수은(mg/kg):0.5 이하
총비소(mg/kg):1.0 이하",제조일로부터 24개월까지,"실리마린:표시량 (130 mg/900 mg)의 80~120%
비타민B1:표시량(1.2 mg/900 mg)의 80~180%
비타민B2:표시량(1.4 mg/900 mg)의 80~180%
비타민B6:표시량(1.5 mg/900 mg)의 80~150%
나이아신:표시량(15 mgNE/900 mg)의 80~150%
판토텐산:표시량(5 mg/900 mg)의 80~180%
엽산:표시량(400 ㎍/900 mg)의 80~150%
아연:표시량(8.5 mg/900 mg)의 80~150%
셀렌:표시량(55 ㎍/900 mg)의 80~150%",일양약품,"9 g(900mg x 10정), 18 g(900mg x 20정), 27 g(900mg x 30정), 54g(900mg x 60정), 81 g(900mg x 90정), 90 g(900mg x 100정), 108 g(900mg x 120정), 135g (900mg x 150정), 162g(900mg x 180정)",http://img.danawa.com/prod_img/500000/147/474/img/9474147_1.jpg?shrink=500:500&_v=20190910141914
20161011,간에 좋은 밀크씨슬 골드,"① 직사광선을 받지 않는 서늘한 곳에 보관하십시오.
② 어린이의 손이 닿지 않는 곳에 보관하십시오.","간건강
에너지생성
세포보호
면역기능","이미, 이취가 없고 고유의 향미가 있는 황색의 제피정제","① 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
② 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
③ 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
④ 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
⑤ 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.","1일 1회, 1회 1정을 물과 함께 섭취한다.","납(mg/kg):1.0 이하
총비소(mg/kg):1.0 이하
카드뮴(mg/kg):0.5 이하
총수은(mg/kg):0.5 이하",제조일로부터 24개월,"실리마린:표시량(130mg/900mg)의 80 ~ 120% 
비타민B1:표시량(1.8mg/900mg)의 80 ~ 180%
비타민B2:표시향(1.4mg/900mg)의 80 ~ 180%
비타민B6:표시량(1.5mg/900mg)의 80 ~ 150%
비타민E:표시량(3.6mg α-TE/900mg)의 80 ~ 150%
아연:표시량(3.5mg/900mg)의 80 ~ 150%",녹십자웰빙,"900mg/정 : 10, 20, 30, 60, 90, 120, 150, 180, 240, 360정 등",http://img.danawa.com/prod_img/500000/424/656/img/3656424_1.jpg?shrink=500:500&_v=20180529105450
